Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website ,Industries,Founded Year
Knorish,2023-07-04,5000000.0,Non-equity Assistance,https://www.linkedin.com/company/knorish,www.knorish.com,"E-Commerce, EdTech, Education, SaaS",
Impactsure Technologies,2022-08-29,1000000.0,Seed,https://www.linkedin.com/company/impactsure-technologies-pvt-ltd/,www.impactsure.com,"Banking, Consulting, Financial Services, FinTech",
PAZO,2023-03-15,1000000.0,Seed,https://www.linkedin.com/company/go-pazo,www.gopazo.com,"Apps, Facility Management, Hospitality, Retail",
BestDoc,2020-09-22,2100000.0,Seed,https://www.linkedin.com/company/bestdoc-technology-private-limited/,www.bestdocapp.com/,"Health Care, SaaS, Software,",
FretBox,2024-05-22,5000000.0,Seed,https://www.linkedin.com/company/fretbox,www.fretbox.in,"SaaS, , ,",
TheLightbulb.ai,2022-07-05,1500000.0,Pre-Seed,https://www.linkedin.com/company/getthelightbulb,thelightbulb.ai,"Analytics, Artificial Intelligence (AI), E-Learning, Predictive Analytics",
RealBooks - Online Accounting Software,2022-02-28,137500000.0,Secondary Market,https://www.linkedin.com/company-beta/10334223/,realbooks.in,"Accounting, Information Technology, SaaS, Software",
SanKash,2022-01-15,2000000.0,Seed,https://www.linkedin.com/company/sankashindia/,www.sankash.in/,"Finance, Financial Exchanges, Financial Services, FinTech",
Thinkogic,,5000000.0,—,https://www.linkedin.com/company/thinkogic/,thinkogic.com,"Artificial Intelligence (AI), Chatbot, Consulting, Health Care",
Syook,2023-10-10,5000000.0,Grant,https://www.linkedin.com/company/syook/,syook.com/,"Health Care, Industrial, Information Services, Information Technology",
LeadSquared,2022-06-21,11950000000.0,Series C,https://www.linkedin.com/company/leadsquared,www.leadsquared.com,"CRM, Lead Management, Marketing, SaaS",
WorqHat,2022-08-11,500000.0,Seed,https://www.linkedin.com/company/worqhat,www.worqhat.com/,"Collaboration, Industrial Automation, Information Technology, Internet",
Digio,2023-01-12,5000000.0,Corporate Round,https://www.linkedin.com/company/digio.in/,www.digio.in,"Android, E-Commerce, Internet, SaaS",
Heltar,2024-09-20,125000.0,Pre-Seed,https://in.linkedin.com/company/heltar,www.heltar.com,"Business Intelligence, Customer Service, Marketing Automation, SaaS",
LogistieX,2024-05-30,250000.0,Seed,https://www.linkedin.com/company/logistiex,logistiex.com,"Artificial Intelligence (AI), E-Commerce, SaaS, Software",
eShipz,2022-02-25,5000000.0,Seed,https://www.linkedin.com/company/eshipz,www.eshipz.com,"E-Commerce, SaaS, Software,",
SignalX.ai,2022-01-01,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/signalx-ai/about/,signalx.ai/,"Artificial Intelligence (AI), Information Technology, SaaS, Software",
Enparadigm,2021-02-09,1000000.0,Venture - Series Unknown,https://www.linkedin.com/company/enparadigm/,enparadigm.com,"Enterprise Software, SaaS, Software, Training",
Stride Ahead,2022-01-01,5000000.0,Seed,https://www.linkedin.com/company/stride-ahead/about/,strideahead.io/,"Artificial Intelligence (AI), Business Intelligence, Education, Machine Learning",
CreditMate,2018-06-05,5000000.0,Series A,https://www.linkedin.com/company/creditmate/,creditmate.in/,"Credit, Debt Collections, Financial Services, FinTech",
MotorPedia,2023-11-01,590000.0,Pre-Seed,https://www.linkedin.com/company/motorpedia/,themotorpedia.com/,"Auto Insurance, Automotive, FinTech, SaaS",
trica,2021-10-07,3000000.0,Seed,https://www.linkedin.com/company/trica/,www.trica.co/,"Financial Services, FinTech, SaaS, Software",
Semantic Web Tech Private Limited,,5000000.0,—,https://www.linkedin.com/company/semanticwebtech/,www.semanticweb.tech,"Artificial Intelligence (AI), Big Data, Bioinformatics, Biotechnology",
Clientjoy,2020-11-09,800000.0,Seed,https://www.linkedin.com/company/clientjoysocial/?viewAsMember=true,clientjoy.io,"Consulting, Digital Marketing, Enterprise Software, Graphic Design",
Selfieera,2023-12-15,1500000.0,Seed,https://www.linkedin.com/company/selfieera-pvt-ltd,www.selfieera.com,"Broadcasting, Content, SaaS, Social Network",
DronaHQ,2018-02-22,500000.0,Angel,https://www.linkedin.com/company/deltecs-infotech/,www.dronahq.com/,"Data Collection and Labeling, Developer Tools, Enterprise Applications, Information Technology",
CustomFit.ai,2020-09-11,209000.0,Series A,https://www.linkedin.com/company/customfitai/,customfit.cloud/,"A/B Testing, Artificial Intelligence (AI), E-Commerce, Personalization",
Thingsup,2022-12-13,600000.0,Seed,http://linkedin.com/company/thingsup,thingsup.io,"Internet of Things, SaaS, Supply Chain Management,",
ESG Data Solutions Pvt. Ltd.,2021-03-01,315000.0,Pre-Seed,https://www.linkedin.com/company/esg-data-solutions/,esgds.io/,"Analytics, Cloud Data Services, Energy Management, Financial Services",
Verdant Impact,2023-11-06,1000000.0,Grant,https://www.linkedin.com/company/verdantimpact/,verdantimpact.com/,"AgTech, Farming, Internet of Things, Livestock",
Metis Intellisystems,2024-06-20,13000000.0,Pre-Seed,https://www.linkedin.com/company/metis-intel,metisintel.in,"Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS",
AllTrak,2023-12-07,42000000.0,Seed,https://www.linkedin.com/company/alltrakco,alltrak.co,"B2B, Health Care, SaaS,",
numberz,2016-11-21,650000.0,Seed,https://www.linkedin.com/company/10795053,numberz.co/,"Banking, Financial Services, FinTech, Information Technology",
HuddleUp,2022-05-04,550000.0,Seed,https://www.linkedin.com/company/huddleup-ai,huddleup.ai,"Artificial Intelligence (AI), Human Resources, SaaS,",
HireHunch,2022-04-01,500000.0,Seed,https://www.linkedin.com/company/hirehunch,hirehunch.com,"Recruiting, SaaS, Skill Assessment,",
Hansel.io,,5000000.0,—,https://www.linkedin.com/company/hansel-io,hansel.io/,"Personalization, Real Time, SaaS, Software",
Plutomen,2021-06-23,300000.0,Venture - Series Unknown,https://www.linkedin.com/company/plutomen/,pluto-men.com/,"Android, Augmented Reality, Developer Platform, Information Technology",
GetCurious (formerly UserStudy),2024-01-01,5000000.0,Seed,https://www.linkedin.com/company/userstudy,userstudy.co/,"Market Research, SaaS, UX Design,",
Stylumia Intelligence Technology Pvt Ltd,2023-01-01,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/stylumia/,www.stylumia.ai,"Artificial Intelligence (AI), Computer Vision, E-Commerce, Fashion",
Sale Assist,2021-01-22,2500000.0,Pre-Seed,https://www.linkedin.com/company/safemeet,www.saleassist.ai,"Cloud Management, Consumer, Information Technology, SaaS",
Big.Jobs,,5000000.0,—,https://www.linkedin.com/company/thebigjobs/,big.jobs,"Artificial Intelligence (AI), Recruiting, SaaS,",
NeoDove Telecalling CRM,2021-03-19,1500000.0,Seed,https://www.linkedin.com/company/neodove,neodove.com/,"SaaS, Sales Automation, Software,",
EQUIP9,2022-12-01,650000.0,Seed,https://www.linkedin.com/company/futurebizequip9/,www.equip9.com,"Apps, Construction, Generative AI, Real Estate",
Param.ai,,5000000.0,—,https://www.linkedin.com/company/13312825/,param.ai,"Artificial Intelligence (AI), Delivery, Human Resources, Information Technology",
AarogyaAI,,5000000.0,—,https://www.linkedin.com/company/aarogyaaiinnovations,www.aarogya.ai,"Artificial Intelligence (AI), Health Care, Machine Learning, SaaS",
DotcomPal,2017-12-27,1400000.0,Series A,https://www.linkedin.com/company/dotcompal,www.dotcompal.com,"Internet, SaaS, Software,",
SOLUS AI,2019-06-01,300000.0,Seed,https://www.linkedin.com/company/solusai/,www.solus.ai,"Artificial Intelligence (AI), Machine Learning, Personalization, SaaS",
Skyber,,5000000.0,—,https://linkedin.com/company/skyberofficial,skyber.io,"E-Commerce, SaaS, Software,",
AcadAlly,2023-04-04,121000.0,Pre-Seed,https://www.linkedin.com/company/acadally/,acadally.ai,"Artificial Intelligence (AI), Business Intelligence, Education, Generative AI",
Medoc Health,2024-05-14,1000000.0,Pre-Seed,https://www.linkedin.com/company/medochealth,medochealth.in,"Electronic Health Record (EHR), Health Care, IT Infrastructure, Personal Health",
Dice,2024-07-03,420000000.0,Series A,https://www.linkedin.com/company/dicetech,dice.tech,"Finance, SaaS, Travel,",
Buildpan,2021-06-09,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/buildpan/,www.buildpan.com,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning",
Sagacito Technologies,2016-07-19,10000000.0,Venture - Series Unknown,https://www.linkedin.com/company/13187836,www.sagacito.com,"Analytics, Cloud Data Services, Machine Learning, Management Consulting",
Manch,2021-09-28,1100000.0,Seed,https://www.linkedin.com/company/manch-technologies/,www.manchtech.com,"Digital Signage, SaaS, Software,",
Procol,2022-09-13,6500000.0,Series A,https://www.linkedin.com/company/procoltech/,www.procol.io,"Computer, Enterprise Software, Information Technology, Procurement",
Veri5Digital,2019-08-02,2000000.0,Series A,https://www.linkedin.com/company/veri5digital,veri5digital.com,"Enterprise, SaaS, Software,",
Kenyt Technologies Pvt Ltd,2020-05-14,150000.0,Seed,https://www.linkedin.com/company/kenyt/,www.kenyt.ai,"Advertising, Analytics, Artificial Intelligence (AI), Information Technology",
GovEVA,2021-08-18,100000.0,Pre-Seed,https://www.linkedin.com/company/goveva-esgc,www.goveva.com/,"Artificial Intelligence (AI), Enterprise Software, GovTech, Information Technology",
Qcodes,2023-08-04,2100000.0,Seed,,qcodes.co,"Artificial Intelligence (AI), Blockchain, Internet of Things, Machine Learning",
Baaz,2022-04-27,700000.0,Seed,https://www.linkedin.com/company/baazlive,baaz.live,"E-Commerce, Information Technology, Retail Technology, SaaS",
Samaaro,2022-12-26,5000000.0,Seed,https://www.linkedin.com/company/samaaro/,samaaro.com,"Events, Information Technology, Meeting Software, SaaS",
Hubbler,2022-10-10,1500000.0,Seed,https://www.linkedin.com/company/hubbler.mobi/?originalSubdomain=in,www.hubbler.mobi/,"Asset Management, Consumer Applications, Enterprise Applications, Information Technology",
Explara,,5000000.0,—,http://in.linkedin.com/company/explara,www.explara.com/,"Content Creators, Crowdfunding, E-Commerce, Event Management",
PagarBook,2020-12-18,8000000.0,Series A,https://www.linkedin.com/company/pagarbook,pagarbook.com,"Apps, Enterprise Software, Human Resources, Mobile Apps",
ProHance,2015-03-09,5000000.0,Venture - Series Unknown,https://www.linkedin.com/company/prohance,www.prohance.net,"Analytics, Information Technology, Management Consulting, Professional Services",
